timestamp,agent_id,agent_type,total_actions,compliant_actions,violations,blocked_actions,warnings_received,compliance_rate,average_response_time
2025-06-22T19:16:26.179230,noncompliant_agent_02,non_compliant,40,40,0,0,0,1.0,0.007745339546674564
2025-06-22T19:16:26.179230,mixed_agent_01,mixed_behavior,40,40,0,0,0,1.0,0.006470939259470245
2025-06-22T19:16:26.179230,mixed_agent_02,mixed_behavior,40,40,0,0,0,1.0,0.005865662186234085
2025-06-22T19:16:26.179230,mixed_agent_03,mixed_behavior,40,40,0,0,0,1.0,0.006034992359302662
2025-06-22T19:16:26.179230,mixed_agent_04,mixed_behavior,40,40,0,0,0,1.0,0.0058830873465832365
2025-06-22T19:16:26.179230,mixed_agent_05,mixed_behavior,40,40,0,0,0,1.0,0.005987011356118285
2025-06-22T19:16:26.179230,mixed_agent_06,mixed_behavior,40,40,0,0,0,1.0,0.0067228623378423995
2025-06-22T19:16:26.179230,mixed_agent_07,mixed_behavior,40,40,0,0,0,1.0,0.006718514878072857
2025-06-22T19:16:26.179230,adaptive_agent_01,adaptive_learning,1,1,0,0,0,1.0,0.006298428490048363
2025-06-22T19:16:26.179230,adaptive_agent_02,adaptive_learning,1,1,0,0,0,1.0,0.003905653953552246
2025-06-22T19:16:26.179230,adaptive_agent_03,adaptive_learning,1,1,0,0,0,1.0,0.0044576724370320635
2025-06-22T19:16:36.181286,compliant_agent_01,compliant,50,50,0,0,0,1.0,0.005539223699286433
2025-06-22T19:16:36.181286,compliant_agent_02,compliant,50,50,0,0,0,1.0,0.005273453079827941
2025-06-22T19:16:36.181286,compliant_agent_03,compliant,50,50,0,0,0,1.0,0.006708879281978796
2025-06-22T19:16:36.181286,noncompliant_agent_01,non_compliant,50,50,0,0,0,1.0,0.007635166149328251
2025-06-22T19:16:36.181286,noncompliant_agent_02,non_compliant,50,50,0,0,0,1.0,0.007758737790702594
2025-06-22T19:16:36.181286,mixed_agent_01,mixed_behavior,50,50,0,0,0,1.0,0.006363125130681708
2025-06-22T19:16:36.181286,mixed_agent_02,mixed_behavior,50,50,0,0,0,1.0,0.00591421363377335
2025-06-22T19:16:36.181286,mixed_agent_03,mixed_behavior,50,50,0,0,0,1.0,0.006018173576581596
2025-06-22T19:16:36.181286,mixed_agent_04,mixed_behavior,50,50,0,0,0,1.0,0.00607054068310426
2025-06-22T19:16:36.181286,mixed_agent_05,mixed_behavior,50,50,0,0,0,1.0,0.0061023565802243674
2025-06-22T19:16:36.181286,mixed_agent_06,mixed_behavior,50,50,0,0,0,1.0,0.006567792137070458
2025-06-22T19:16:36.181286,mixed_agent_07,mixed_behavior,50,50,0,0,0,1.0,0.006467944324606716
2025-06-22T19:16:36.181286,adaptive_agent_01,adaptive_learning,1,1,0,0,0,1.0,0.005899543945605938
2025-06-22T19:16:36.181286,adaptive_agent_02,adaptive_learning,1,1,0,0,0,1.0,0.004041882661672739
2025-06-22T19:16:36.181286,adaptive_agent_03,adaptive_learning,1,1,0,0,0,1.0,0.004182985195746789
2025-06-22T19:16:46.204520,compliant_agent_01,compliant,60,60,0,0,0,1.0,0.005603585361449187
2025-06-22T19:16:46.204520,compliant_agent_02,compliant,60,60,0,0,0,1.0,0.005085848579722003
2025-06-22T19:16:46.204520,compliant_agent_03,compliant,60,60,0,0,0,1.0,0.006928609422415741
2025-06-22T19:16:46.204520,noncompliant_agent_01,non_compliant,60,60,0,0,0,1.0,0.007446316648120723
2025-06-22T19:16:46.204520,noncompliant_agent_02,non_compliant,60,60,0,0,0,1.0,0.007635138251564719
2025-06-22T19:16:46.204520,mixed_agent_01,mixed_behavior,60,60,0,0,0,1.0,0.0064685187063926505
2025-06-22T19:16:46.204520,mixed_agent_02,mixed_behavior,60,60,0,0,0,1.0,0.00579646402154087
2025-06-22T19:16:46.204520,mixed_agent_03,mixed_behavior,60,60,0,0,0,1.0,0.00625532914784329
2025-06-22T19:16:46.204520,mixed_agent_04,mixed_behavior,60,60,0,0,0,1.0,0.006263013713615985
2025-06-22T19:16:46.204520,mixed_agent_05,mixed_behavior,60,60,0,0,0,1.0,0.006151703763599238
2025-06-22T19:16:46.204520,mixed_agent_06,mixed_behavior,60,60,0,0,0,1.0,0.006419154238109746
2025-06-22T19:16:46.204520,mixed_agent_07,mixed_behavior,60,60,0,0,0,1.0,0.006311621547730501
2025-06-22T19:16:46.204520,adaptive_agent_01,adaptive_learning,1,1,0,0,0,1.0,0.005634961589690178
2025-06-22T19:16:46.204520,adaptive_agent_02,adaptive_learning,1,1,0,0,0,1.0,0.0041856842656289375
2025-06-22T19:16:46.204520,adaptive_agent_03,adaptive_learning,1,1,0,0,0,1.0,0.004226499988186744
2025-06-22T19:16:56.191309,compliant_agent_01,compliant,70,70,0,0,0,1.0,0.005639162469417491
2025-06-22T19:16:56.191309,compliant_agent_02,compliant,70,70,0,0,0,1.0,0.005159203887831235
2025-06-22T19:16:56.191309,compliant_agent_03,compliant,70,70,0,0,0,1.0,0.0071041364196344475
